name;coords;phone-number;rating;address;working-hours;category;place_id
Шашлычная № 1;[49.174013, 55.769872];+7 (937) 618-04-76;3.9;Гвардейская ул., 54Ж, Казань;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 11:00-23:00', 'Su 11:00-23:00'];кафе;191
Сулейман;[49.100435, 55.791029];+7 (843) 216-76-96;4.2;ул. Саид-Галеева, 6, Казань • этаж 1;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;192
Умид;[49.149019, 55.823075];+7 (905) 314-48-69;3.9;ул. Адоратского, 2А, корп. 1, Казаньэтаж 2;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;193
Терка;[49.089765, 55.819481];+7 (967) 465-54-27;4.6;ул. Декабристов, 85, Казань;['Mo 09:00-23:00', 'Tu 09:00-23:00', 'We 09:00-23:00', 'Th 09:00-23:00', 'Fr 09:00-23:00', 'Sa 09:00-23:00', 'Su 09:00-23:00'];кафе;194
Сююмбике;[49.118606, 55.774433];+7 (843) 278-27-96;4.4;ул. Габдуллы Тукая, 102, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;195
Небо;[49.105731, 55.862962];+7 (843) 250-40-43;4.1;ул. Академика Павлова, 1, Казаньэтаж 1;['Mo 07:00-22:00', 'Tu 07:00-22:00', 'We 07:00-22:00', 'Th 07:00-22:00', 'Fr 07:00-22:00', 'Sa 07:00-22:00', 'Su 07:00-22:00'];кафе;196
AG;[49.131297, 55.744731];+7 (987) 261-26-82;4.2;Техническая ул., 23К, Казань • этаж 2;['Mo 09:00-17:00', 'Tu 09:00-17:00', 'We 09:00-17:00', 'Th 09:00-17:00', 'Fr 09:00-17:00'];кафе;197
Шкаф;[49.14834, 55.794087];+7 (950) 316-44-24;3.8;ул. Николая Ершова, 1А, Казаньэтаж 1;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 10:00-21:00'];кафе;198
Душа;[49.124911, 55.791048];+7 (984) 661-16-16;4.2;ул. Пушкина, 26, Казань;['Mo 11:00-01:00', 'Tu 11:00-01:00', 'We 11:00-01:00', 'Th 11:00-01:00', 'Fr 11:00-03:00', 'Sa 11:00-03:00', 'Su 11:00-01:00'];кафе;199
Джаз-кафе Старый рояль;[49.131693, 55.78202];+7 (987) 290-25-01;4.7;Петербургская ул., 50, корп. 5, Казань;['Mo 12:00-23:00', 'Tu 12:00-23:00', 'We 12:00-23:00', 'Th 12:00-23:00', 'Fr 12:00-00:00', 'Sa 14:00-00:00', 'Su 14:00-23:00'];кафе;200
Мастер пицца;[49.091395, 55.816576];+7 (960) 068-73-98;4.2;ул. Декабристов, 83, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;201
Кафе;[49.142748, 55.782144];;3.9;ул. Калинина, 26, Вахитовский район, Казань;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00'];кафе;202
Избушка;[49.113799, 55.790223];+7 (996) 123-44-30;4.3;ул. Кави Наджми, 8, корп. 1, Казань;['Mo 10:00-21:00', 'Tu 10:00-21:00', 'We 10:00-21:00', 'Th 10:00-21:00', 'Fr 10:00-21:00', 'Sa 10:00-21:00', 'Su 10:00-21:00'];кафе;203
Смарт Фудс;[49.121323, 55.836891];+7 (987) 274-80-42;4.1;ул. Мусина, 68Б, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;204
Старый Амбар;[49.100241, 55.826747];+7 (843) 523-73-74;4.3;просп. Ямашева, 17, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-01:00', 'Sa 11:00-01:00', 'Su 11:00-00:00'];кафе;205
Кафе;[49.141298, 55.815649];;4.0;ул. Сибгата Хакима, 60, Казань;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;206
Never enough coffee;[49.116597, 55.79521];;3.5;Республика Татарстан, Казань, парк Чёрное озеро;['Mo 10:00-18:00', 'Tu 10:00-18:00', 'We 10:00-18:00', 'Th 10:00-18:00', 'Fr 10:00-18:00', 'Sa 10:00-18:00', 'Su 10:00-18:00'];кафе;207
Eclair;[49.115828, 55.793844];+7 (962) 565-85-60;4.5;Кремлёвская ул., 19, Казань;['Mo 08:00-22:00', 'Tu 08:00-22:00', 'We 08:00-22:00', 'Th 08:00-22:00', 'Fr 08:00-22:00', 'Sa 08:00-22:00', 'Su 08:00-22:00'];кафе;208
Сабро;[49.108595, 55.780997];+7 (996) 907-34-34;4.2;ул. Нариманова, 62, Казань • этаж 2;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;209
Бпш;[49.065038, 55.799725];+7 (917) 928-13-64;4.1;ул. Клары Цеткин, 8\27, корп. 3, Казань;['Mo 10:00-20:00', 'Tu 10:00-20:00', 'We 10:00-20:00', 'Th 10:00-20:00', 'Fr 10:00-20:00', 'Sa 10:00-20:00', 'Su 10:00-20:00'];кафе;210
La Famiglia;[49.110329, 55.802327];+7 (843) 590-81-79;4.3;Федосеевская ул., 1, Казань;['Mo 12:00-21:00', 'Tu 12:00-21:00', 'We 12:00-21:00', 'Th 12:00-21:00', 'Fr 12:00-23:00', 'Sa 12:00-23:00', 'Su 12:00-23:00'];кафе;211
Шоколадница;[49.123386, 55.787132];+7 (843) 528-08-80;4.3;Петербургская ул., 1, Казань • ТЦ Кольцо;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;212
Алан Аш;[49.135603, 55.780287];+7 (987) 297-58-53;4.2;ул. Туфана Миннуллина, 14/56, Казань;['Mo 08:30-20:00', 'Tu 08:30-20:00', 'We 08:30-20:00', 'Th 08:30-20:00', 'Fr 08:30-20:00', 'Sa 08:30-20:00', 'Su 08:30-20:00'];кафе;213
Татмак;[49.131343, 55.769719];+7 (843) 503-12-85;4.2;ул. Хади Такташа, 78А, корп. 1, Казаньэтаж 2;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;214
Восточная кухня;[49.150333, 55.764915];;1.7;Роторная ул., 1Б, Казань;['Mo 08:00-18:00', 'Tu 08:00-18:00', 'We 08:00-18:00', 'Th 08:00-18:00', 'Fr 08:00-18:00', 'Sa 08:00-18:00', 'Su 08:00-18:00'];кафе;215
Coffee Like;[49.115868, 55.790332];+7 (3412) 90-82-92;4.3;ул. Баумана, 25, Казаньэтаж цокольный;['Mo 09:00-22:00', 'Tu 09:00-22:00', 'We 09:00-22:00', 'Th 09:00-22:00', 'Fr 09:00-22:00', 'Sa 09:00-22:00', 'Su 10:00-22:00'];кафе;216
Кафе;[49.101463, 55.79208];+7 (843) 527-88-00;4.1;Московская ул., 2, Казань • этаж 2;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;217
Кафе;[49.195992, 55.723111];;4.0;Оренбургский тракт, 174, Казань;[];кафе;218
Халяль кафе;[49.143505, 55.73315];+7 (904) 666-67-26;4.0;Тульская ул., 35, Казань;['Mo 06:00-23:00', 'Tu 06:00-23:00', 'We 06:00-23:00', 'Th 06:00-23:00', 'Fr 06:00-23:00', 'Sa 06:00-23:00', 'Su 06:00-23:00'];кафе;219
Кварт;[49.205157, 55.750179];+7 (843) 224-31-37;3.5;просп. Победы, 21, Казань;['Mo 07:00-21:00', 'Tu 07:00-21:00', 'We 07:00-21:00', 'Th 07:00-21:00', 'Fr 07:00-21:00', 'Sa 07:00-21:00', 'Su 07:00-21:00'];кафе;220
Татмак;[49.091216, 55.816532];+7 (927) 451-55-44;4.1;ул. Декабристов, 83, Казань;['Mo 08:00-21:00', 'Tu 08:00-21:00', 'We 08:00-21:00', 'Th 08:00-21:00', 'Fr 08:00-21:00', 'Sa 08:00-21:00', 'Su 08:00-21:00'];кафе;221
Мушу;[49.126051, 55.785217];+7 (843) 555-08-08;4.2;Петербургская ул., 9, Казань • этаж 3;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;222
Кафе;[49.210574, 55.800567];;2.8;2-я Азинская ул., 7Б, Казань • ТЦ Мегастрой, этаж 2;['Mo 09:00-20:00', 'Tu 09:00-20:00', 'We 09:00-20:00', 'Th 09:00-20:00', 'Fr 09:00-20:00', 'Sa 09:00-20:00', 'Su 09:00-20:00'];кафе;223
Тифлис;[49.058243, 55.800857];+7 (843) 210-16-44;4.3;ул. Урицкого, 15, Казань;['Mo 07:00-23:00', 'Tu 07:00-23:00', 'We 07:00-23:00', 'Th 07:00-23:00', 'Fr 07:00-23:00', 'Sa 07:00-23:00', 'Su 07:00-23:00'];кафе;224
Кофе с толком;[49.122411, 55.797368];+7 (843) 252-34-52;4.9;Большая Красная ул., 34/16, Вахитовский район, Казань;['Mo 08:00-23:00', 'Tu 08:00-23:00', 'We 08:00-23:00', 'Th 08:00-23:00', 'Fr 08:00-23:00', 'Sa 08:00-23:00', 'Su 08:00-23:00'];кафе;225
Кафе;[49.101701, 55.81441];;4.2;ул. Декабристов, 2, Казань;['Mo 08:00-18:00', 'Tu 08:00-18:00', 'We 08:00-18:00', 'Th 08:00-18:00', 'Fr 08:00-18:00', 'Sa 10:00-18:00', 'Su 10:00-18:00'];кафе;226
Naшdog;[49.092002, 55.816867];+7 (965) 587-13-87;4.3;ул. Декабристов, 83, Казань;['Mo 10:00-23:00', 'Tu 10:00-23:00', 'We 10:00-23:00', 'Th 10:00-23:00', 'Fr 10:00-23:00', 'Sa 10:00-23:00', 'Su 10:00-23:00'];кафе;227
Шоколадница;[49.131569, 55.779232];+7 (843) 528-08-80;4.3;ул. Островского, 98, Казань • БЦ Urban;['Mo 08:00-21:00', 'Tu 08:00-21:00', 'We 08:00-21:00', 'Th 08:00-21:00', 'Fr 08:00-21:00', 'Sa 08:00-21:00', 'Su 08:00-21:00'];кафе;228
Джаст СМО;[49.128672, 55.795992];+7 (843) 225-39-39;4.3;ул. Карла Маркса, 39, Казаньэтаж цокольный;['Mo 11:00-01:00', 'Tu 11:00-01:00', 'We 11:00-01:00', 'Th 11:00-01:00', 'Fr 11:00-02:00', 'Sa 14:00-02:00', 'Su 14:00-01:00'];кафе;229
Anna Bakery Bistro;[49.147095, 55.768287];+7 (843) 253-32-21;4.1;ул. Павлюхина, 91, Казань • этаж 1;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;230
Time;[49.180876, 55.766534];;3.6;Даурская ул., 27, Казань;['Mo 08:00-20:00', 'Tu 08:00-20:00', 'We 08:00-20:00', 'Th 08:00-20:00', 'Fr 08:00-20:00', 'Sa 09:00-20:00', 'Su 09:00-20:00'];кафе;231
Амина;[49.104761, 55.753107];+7 (905) 021-13-26;4.1;Магистральная ул., 24, Приволжский район, Казань;['Mo 08:00-18:00', 'Tu 08:00-18:00', 'We 08:00-18:00', 'Th 08:00-18:00', 'Fr 08:00-18:00'];кафе;232
Шоколадница;[49.147022, 55.768582];+7 (843) 528-08-80;4.2;ул. Павлюхина, 91, КазаньТЦ KazanMall;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;233
Кафе;[49.108294, 55.785424];+7 (960) 034-20-30;4.4;ул. Мартына Межлаука, 15, Казань;['Mo 09:00-18:00', 'Tu 09:00-18:00', 'We 09:00-18:00', 'Th 09:00-18:00', 'Fr 09:00-18:00'];кафе;234
Азу;[49.100287, 55.818058];+7 (843) 215-55-65;4.8;ул. Декабристов, 8, Казань;['Mo 08:00-22:00', 'Tu 08:00-22:00', 'We 08:00-22:00', 'Th 08:00-22:00', 'Fr 08:00-22:00', 'Sa 09:00-22:00', 'Su 09:00-22:00'];кафе;235
Тумарис;[49.126449, 55.766986];;4.2;ул. Габдуллы Тукая, 115, корп. 1, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;236
Амирхан;[49.023246, 55.866128];;4.1;Беломорская ул., 69Б, Казань;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;237
Пекин;[49.192832, 55.744617];+7 (905) 024-54-67;3.8;ул. Хусаина Мавлютова, 45, Казаньэтаж 3;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;238
Алан Аш;[49.135765, 55.789313];+7 (843) 236-41-44;4.2;ул. Бутлерова, 43/11, Казань;['Mo 08:00-20:00', 'Tu 08:00-20:00', 'We 08:00-20:00', 'Th 08:00-20:00', 'Fr 08:00-20:00', 'Sa 08:00-20:00', 'Su 08:00-20:00'];кафе;239
Gazon;[49.090945, 55.818178];+7 (843) 216-33-34;4.4;ул. Декабристов, 85, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-23:00', 'Sa 10:00-23:00', 'Su 10:00-22:00'];кафе;240
Стерлядка;[49.11585, 55.789369];+7 (843) 225-51-00;4.2;Астрономическая ул., 7, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;241
Кафе;[49.211734, 55.799622];;3.6;просп. Победы, 159, Казань • ТЦ Mzlife, 1 этаж;['Mo 08:00-21:00', 'Tu 08:00-21:00', 'We 08:00-21:00', 'Th 08:00-21:00', 'Fr 08:00-21:00', 'Sa 09:00-18:00', 'Su 09:00-18:00'];кафе;242
Кафе;[49.204296, 55.742398];+7 (950) 321-79-74;4.2;ул. Юлиуса Фучика, 12В, Казань;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 11:00-23:00', 'Su 11:00-23:00'];кафе;243
Bazzar street food;[49.146642, 55.804516];+7 (927) 439-71-99;4.0;Кремлёвская наб., 33, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;244
Байрам;[49.037821, 55.835127];+7 (953) 402-68-89;4.1;ул. Восстания, 100, корп. 104, Казань;['Mo 07:00-17:30', 'Tu 07:00-17:30', 'We 07:00-17:30', 'Th 07:00-17:30', 'Fr 07:00-17:30', 'Sa 10:00-16:00'];кафе;245
Армянская кухня;[49.131802, 55.75435];+7 (927) 033-44-96;3.8;Техническая ул., 120В, Казань;['Mo 09:00-19:00', 'Tu 09:00-19:00', 'We 09:00-19:00', 'Th 09:00-19:00', 'Fr 09:00-19:00', 'Sa 09:00-19:00'];кафе;246
Чайхона Рахат;[49.222428, 55.782789];;4.1;ул. Академика Сахарова, 24, Казань;['Mo 07:00-21:30', 'Tu 07:00-21:30', 'We 07:00-21:30', 'Th 07:00-21:30', 'Fr 07:00-21:30', 'Sa 07:00-21:30', 'Su 07:00-21:30'];кафе;247
Караваево;[49.107675, 55.861991];+7 (987) 234-70-76;2.4;ул. Дементьева, 72, корп. 1, Казань;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;248
Кафе;[49.113927, 55.773091];;3.6;ул. Салиха Сайдашева, 12, Казань;['Mo 08:00-17:30', 'Tu 08:00-17:30', 'We 08:00-17:30', 'Th 08:00-17:30', 'Fr 08:00-17:30', 'Sa 08:00-17:30', 'Su 08:00-17:30'];кафе;249
Плов хаус;[49.106191, 55.782934];+7 (927) 444-76-46;4.4;ул. Нариманова, 40Б, Казань • этаж 1;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;250
Казанское ашханэ;[49.135523, 55.780637];+7 (843) 238-94-02;3.7;Петербургская ул., 55Д, Казань;['Mo 10:00-17:00', 'Tu 10:00-17:00', 'We 10:00-17:00', 'Th 10:00-17:00', 'Fr 10:00-17:00', 'Sa 10:00-15:00'];кафе;251
Барбекю;[49.124331, 55.786551];+7 (843) 238-60-24;2.2;Петербургская ул., 1, Казань • этаж 3;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;252
Омар Хайям;[49.127135, 55.781049];;3.9;Спартаковская ул., 2, корп. 1, Казань • этаж 1;['Mo 08:00-20:00', 'Tu 08:00-20:00', 'We 08:00-20:00', 'Th 08:00-20:00', 'Fr 08:00-20:00', 'Sa 08:00-20:00'];кафе;253
Чебуречная Lodge;[49.124628, 55.792263];+7 (917) 876-67-00;4.3;ул. Профессора Нужина, 4, Казань;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 12:00-00:00', 'Su 12:00-00:00'];кафе;254
Рита в ритме;[49.066361, 55.838071];;3.7;ул. Академика Королёва, 47, Казань;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;255
Mr Pancake;[49.073036, 55.809589];+7 (995) 982-15-64;3.5;ул. Энгельса, 7, Казань;['Mo 09:00-19:00', 'Tu 09:00-19:00', 'We 09:00-19:00', 'Th 09:00-19:00', 'Fr 09:00-19:00'];кафе;256
Мангал;[49.102849, 55.819549];+7 (843) 258-83-84;4.6;Чистопольская ул., 5, Казань • этаж 2;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-00:00', 'Sa 12:00-00:00', 'Su 12:00-23:00'];кафе;257
КоКо бистро;[49.132457, 55.791827];+7 (995) 331-64-07;3.8;ул. Щапова, 16/30, Казань;['Mo 07:00-23:00', 'Tu 07:00-23:00', 'We 07:00-23:00', 'Th 07:00-23:00', 'Fr 07:00-23:00', 'Sa 07:00-23:00', 'Su 07:00-23:00'];кафе;258
Алия;[49.266476, 55.809624];+7 (927) 242-46-08;3.7;Интернациональная ул., 13Д, Казань;['Mo 10:00-16:00', 'Tu 10:00-16:00', 'We 10:00-16:00', 'Th 10:00-16:00', 'Fr 10:00-16:00', 'Sa 10:00-16:00', 'Su 10:00-16:00'];кафе;259
Узбекская кухня;[49.182822, 55.745004];;3.7;ул. Академика Парина, 16, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;260
Chao;[49.186305, 55.764193];+7 (951) 066-62-86;4.1;ул. Рихарда Зорге, 11Б, Казаньэтаж 2;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;261
Кафе;[49.142386, 55.77388];+7 (905) 310-96-66;4.1;Спартаковская ул., 111/29, Казаньэтаж 1;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;262
Татмак Премиум;[49.16047, 55.787354];+7 (843) 215-87-87;4.2;ул. Достоевского, 81, КазаньВход с торца дома;['Mo 09:00-21:30', 'Tu 09:00-21:30', 'We 09:00-21:30', 'Th 09:00-21:30', 'Fr 09:00-21:30', 'Sa 09:00-21:30', 'Su 09:00-21:30'];кафе;263
ОстроWok;[49.116103, 55.798004];+7 (843) 265-05-65;4.5;Большая Красная ул., 20/6, Вахитовский район, Казань;['Mo 09:30-21:00', 'Tu 09:30-21:00', 'We 09:30-21:00', 'Th 09:30-21:00', 'Fr 09:30-21:00', 'Sa 09:30-21:00', 'Su 09:30-21:00'];кафе;264
TJ кафе;[49.173405, 55.725216];;4.2;ул. Рауиса Гареева, 110, Казань;['Mo 07:00-23:00', 'Tu 07:00-23:00', 'We 07:00-23:00', 'Th 07:00-23:00', 'Fr 07:00-23:00', 'Sa 07:00-23:00', 'Su 07:00-23:00'];кафе;265
Кафе органической кухни Milovita;[49.147027, 55.768625];+7 (843) 215-15-10;4.2;ул. Павлюхина, 91, КазаньТЦ KazanMall, этаж 0;['Mo 09:00-22:00', 'Tu 09:00-22:00', 'We 09:00-22:00', 'Th 09:00-22:00', 'Fr 09:00-22:00', 'Sa 09:00-22:00', 'Su 09:00-22:00'];кафе;266
Сююмбике;[49.130557, 55.779534];+7 (843) 236-20-15;4.4;Спартаковская ул., 35, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;267
Кафе;[49.180645, 55.756382];+7 (906) 119-11-16;3.0;Республика Татарстан, Казань, улица Братьев Касимовых;['Mo 11:00-22:00', 'Tu 11:00-22:00', 'We 11:00-22:00', 'Th 11:00-22:00', 'Fr 11:00-22:00', 'Sa 11:00-22:00', 'Su 11:00-22:00'];кафе;268
Кыстыбый;[49.190085, 55.74611];+7 (843) 204-29-72;4.3;ул. Академика Парина, 6, Казань;['Mo 07:00-22:00', 'Tu 07:00-22:00', 'We 07:00-22:00', 'Th 07:00-22:00', 'Fr 07:00-22:00', 'Sa 07:00-22:00', 'Su 07:00-22:00'];кафе;269
Госпожа Пышкина;[49.107569, 55.802706];+7 (843) 590-86-39;3.5;Федосеевская ул., 1, корп. 4, Казань;['Mo 12:00-20:00', 'Tu 12:00-20:00', 'We 12:00-20:00', 'Th 12:00-20:00', 'Fr 13:00-21:00', 'Sa 13:00-21:00', 'Su 13:00-21:00'];кафе;270
Вьетнам;[49.159466, 55.787027];;4.2;ул. Достоевского, 76, Казань;['Mo 09:00-22:00', 'Tu 09:00-22:00', 'We 09:00-22:00', 'Th 09:00-22:00', 'Fr 09:00-22:00', 'Sa 09:00-22:00', 'Su 09:00-22:00'];кафе;271
Republic;[49.114781, 55.790613];+7 (939) 340-54-54;4.2;ул. Баумана, 54, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;272
Hemingway;[49.109422, 55.793309];+7 (843) 233-37-47;4.6;ул. Баумана, 36, Казань;['Mo 12:00-00:00', 'Tu 12:00-00:00', 'We 12:00-00:00', 'Th 12:00-00:00', 'Fr 12:00-00:00', 'Sa 12:00-00:00', 'Su 12:00-00:00'];кафе;273
Лаванда;[49.098527, 55.862041];;3.4;ул. Годовикова, 14А, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;274
Старый Амбар;[49.170283, 55.787013];+7 (843) 295-97-40;4.3;ул. Аделя Кутуя, 16, Казань;['Mo 10:30-00:00', 'Tu 10:30-00:00', 'We 10:30-00:00', 'Th 10:30-00:00', 'Fr 10:30-01:00', 'Sa 10:30-01:00', 'Su 10:30-00:00'];кафе;275
Buta;[49.064422, 55.812344];+7 (843) 250-37-97;4.2;ул. 1 Мая, 5, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-01:00', 'Sa 11:00-01:00', 'Su 11:00-00:00'];кафе;276
Балу;[49.234256, 55.757822];+7 (939) 743-48-08;4.5;ул. Академика Завойского, 22Б, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;277
Яр;[49.190727, 55.805601];;2.6;ул. Академика Губкина, 13, Казань;['Mo 09:00-18:00', 'Tu 09:00-18:00', 'We 09:00-18:00', 'Th 09:00-18:00', 'Fr 09:00-18:00'];кафе;278
Friends;[49.191381, 55.799027];+7 (843) 279-65-68;4.3;ул. Космонавтов, 41Б, Казань;['Mo 10:00-00:00', 'Tu 10:00-00:00', 'We 10:00-00:00', 'Th 10:00-00:00', 'Fr 10:00-00:00', 'Sa 12:00-00:00', 'Su 12:00-00:00'];кафе;279
Сады;[49.175605, 55.770504];+7 (843) 240-29-80;4.2;Гвардейская ул., 54, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;280
Дэдико;[49.147999, 55.768801];+7 (903) 305-59-30;3.5;ул. Павлюхина, 91, Казань • этаж 3;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;281
Мастер Пицца;[49.133425, 55.796108];;4.1;ул. Гоголя, 16/56, Казань • подъезд 2;['Mo 06:00-00:00', 'Tu 06:00-00:00', 'We 06:00-00:00', 'Th 06:00-00:00', 'Fr 06:00-00:00', 'Sa 06:00-00:00', 'Su 06:00-00:00'];кафе;282
Вкусно! По-домашнему;[49.135131, 55.82622];+7 (987) 215-75-15;4.0;просп. Ямашева, 71А, КазаньТЦ Бэхетле;['Mo 10:00-21:00', 'Tu 10:00-21:00', 'We 10:00-21:00', 'Th 10:00-21:00', 'Fr 10:00-21:00', 'Sa 10:00-21:00', 'Su 10:00-21:00'];кафе;283
