name;coords;phone-number;rating;address;working-hours;category;place_id
Шат;[49.115887, 55.773999];;3.2;ул. Сары Садыковой, 30, Казань;['Mo 08:00-21:00', 'Tu 08:00-21:00', 'We 08:00-21:00', 'Th 08:00-21:00', 'Fr 08:00-21:00', 'Sa 08:00-21:00', 'Su 08:00-21:00'];кафе;20
Beer And Rolls;[49.104713, 55.752407];+7 (903) 344-34-62;3.3;Магистральная ул., 24, корп. 1, Приволжский район, Казань;['Mo 15:00-03:00', 'Tu 15:00-03:00', 'We 15:00-03:00', 'Th 15:00-03:00', 'Fr 15:00-03:00', 'Sa 15:00-03:00', 'Su 15:00-03:00'];кафе;21
Кишмиш;[49.090858, 55.816439];+7 (927) 433-39-38;4.2;ул. Декабристов, 83, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;22
Милан;[49.135533, 55.789256];+7 (843) 236-41-99;4.3;ул. Бутлерова, 43/11, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;23
Будаглы;[49.233538, 55.779988];+7 (904) 714-31-91;3.8;ул. Галии Кайбицкой, 4А, Казань;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 11:00-23:00', 'Su 11:00-23:00'];кафе;24
Медина Food;[49.131501, 55.778531];+7 (986) 909-14-73;4.4;Спартаковская ул., 12, Казань;['Mo 08:00-22:00', 'Tu 08:00-22:00', 'We 08:00-22:00', 'Th 08:00-22:00', 'Fr 08:00-22:00', 'Sa 08:00-22:00', 'Su 10:00-22:00'];кафе;25
Шаурма от Папочки;[49.17304, 55.793182];+7 (904) 675-80-58;3.4;ул. Патриса Лумумбы, 26, Казань;['Mo 10:00-23:00', 'Tu 10:00-23:00', 'We 10:00-23:00', 'Th 10:00-23:00', 'Fr 10:00-23:00', 'Sa 10:00-23:00', 'Su 10:00-23:00'];кафе;26
Театральный буфетъ;[49.121801, 55.796607];+7 (843) 215-70-55;4.5;ул. Карла Маркса, 27/11, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;27
Раздолье;[49.064063, 55.830467];+7 (987) 290-26-16;4.0;ул. Серова, 7, Казань;['Mo 08:00-22:00', 'Tu 08:00-22:00', 'We 08:00-22:00', 'Th 08:00-22:00', 'Fr 08:00-22:00', 'Sa 08:00-22:00', 'Su 08:00-22:00'];кафе;28
Алан Аш;[49.117186, 55.781041];;4.2;ул. Шигабутдина Марджани, 8, Казань;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 09:00-21:00', 'Su 09:00-21:00'];кафе;29
Узбекское кафе;[49.189578, 55.747906];+7 (960) 076-15-15;4.1;ул. Хусаина Мавлютова, 48, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;30
Самса № 1;[49.112225, 55.781416];;4.5;ул. Габдуллы Тукая, 39/25, Казань • этаж цокольный;['Mo 09:00-22:00', 'Tu 09:00-22:00', 'We 09:00-22:00', 'Th 09:00-22:00', 'Fr 09:00-22:00', 'Sa 09:00-22:00', 'Su 09:00-22:00'];кафе;31
P. Love;[49.217526, 55.769848];+7 (843) 212-20-85 (доб. 5);4.5;просп. Победы, 91, Казань • этаж 2;['Mo 10:00-23:00', 'Tu 10:00-23:00', 'We 10:00-23:00', 'Th 10:00-23:00', 'Fr 10:00-23:00', 'Sa 10:00-23:00', 'Su 10:00-23:00'];кафе;32
Mado;[49.189552, 55.756322];+7 (987) 225-49-99;4.6;ул. Хусаина Мавлютова, 7/22, Казань;['Mo 11:00-02:00', 'Tu 11:00-02:00', 'We 11:00-02:00', 'Th 11:00-02:00', 'Fr 11:00-03:00', 'Sa 13:00-03:00', 'Su 13:00-02:00'];кафе;33
Бахча;[49.110155, 55.802336];+7 (843) 590-88-86;4.2;Федосеевская ул., 1, Казань;['Fr 12:00-23:00', 'Sa 12:00-23:00', 'Su 12:00-23:00'];кафе;34
Правильное Питание;[49.065758, 55.819768];+7 (904) 673-36-60;3.9;ул. Галимджана Баруди, 8, Казаньэтаж 1;['Mo 09:00-21:00', 'Tu 09:00-21:00', 'We 09:00-21:00', 'Th 09:00-21:00', 'Fr 09:00-21:00', 'Sa 10:00-21:00', 'Su 10:00-21:00'];кафе;35
Coffeeshop Company;[49.110457, 55.792736];+7 (963) 158-54-84;4.4;ул. Баумана, 38/17, Казань • этаж 1;['Mo 08:00-23:00', 'Tu 08:00-23:00', 'We 08:00-23:00', 'Th 08:00-23:00', 'Fr 08:00-23:00', 'Sa 08:00-23:00', 'Su 08:00-23:00'];кафе;36
Bubble Mania;[49.107664, 55.794404];+7 (937) 615-01-64;4.4;ул. Баумана, 24, Казань;['Mo 11:00-22:00', 'Tu 11:00-22:00', 'We 11:00-22:00', 'Th 11:00-22:00', 'Fr 11:00-22:00', 'Sa 11:30-23:00', 'Su 11:30-23:00'];кафе;37
Самса+;[49.108629, 55.784967];+7 (917) 906-51-86;4.4;ул. Габдуллы Тукая, 5, Казань;['Mo 08:00-00:00', 'Tu 08:00-00:00', 'We 08:00-00:00', 'Th 08:00-00:00', 'Fr 08:00-00:00', 'Sa 08:00-00:00', 'Su 08:00-00:00'];кафе;38
Эдем;[49.106943, 55.78785];;4.2;ул. Тази Гиззата, 7/17, Казань • этаж цокольный;['Mo 09:30-17:00', 'Tu 09:30-17:00', 'We 09:30-17:00', 'Th 09:30-17:00', 'Fr 09:30-17:00'];кафе;39
Шоколадница;[49.105174, 55.791562];+7 (843) 528-08-80;4.0;Московская ул., 19/8, КазаньБЦ Кремлевская Плаза;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;40
Сетевая компания;[49.103294, 55.8334];;4.0;ул. Бондаренко, 3, Казань • этаж 1;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;41
Кафе;[49.193553, 55.835035];;3.9;Сибирский тракт, 47Г, Казань;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00', 'Sa 08:00-19:00', 'Su 08:00-19:00'];кафе;42
Халяль;[49.106412, 55.785697];;4.0;ул. Бурхана Шахиди, 26, Казань;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00', 'Sa 08:00-19:00', 'Su 08:00-19:00'];кафе;43
Mio;[49.108553, 55.802403];+7 (843) 590-26-58;4.3;Федосеевская ул., 1, Казань;['Fr 12:00-00:00', 'Sa 12:00-00:00', 'Su 12:00-00:00'];кафе;44
